Maximum,196.8,@,No.1112,,,,,,
Minimum,-0.1,@,No.14,,,,,,
Average,49.26,,,,,,,,
Data Quantity,2347,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.0,gf,0.000,mm,OK,--,5:39:29 PM,8/13/2024,
2,0.0,gf,0.000,mm,OK,--,5:39:29 PM,8/13/2024,
3,0.0,gf,0.000,mm,OK,--,5:39:29 PM,8/13/2024,
4,0.0,gf,0.000,mm,OK,--,5:39:29 PM,8/13/2024,
5,0.0,gf,0.000,mm,OK,--,5:39:29 PM,8/13/2024,
6,0.0,gf,0.000,mm,OK,--,5:39:30 PM,8/13/2024,
7,0.0,gf,0.000,mm,OK,--,5:39:30 PM,8/13/2024,
8,0.0,gf,0.000,mm,OK,--,5:39:30 PM,8/13/2024,
9,0.0,gf,0.000,mm,OK,--,5:39:30 PM,8/13/2024,
10,0.0,gf,0.000,mm,OK,--,5:39:30 PM,8/13/2024,
11,0.0,gf,0.000,mm,OK,--,5:39:30 PM,8/13/2024,
12,0.0,gf,0.000,mm,OK,--,5:39:30 PM,8/13/2024,
13,0.0,gf,0.000,mm,OK,--,5:39:30 PM,8/13/2024,
14,-0.1,gf,0.000,mm,OK,--,5:39:30 PM,8/13/2024,
15,-0.1,gf,0.000,mm,OK,--,5:39:30 PM,8/13/2024,
16,-0.1,gf,0.000,mm,OK,--,5:39:31 PM,8/13/2024,
17,0.0,gf,0.000,mm,OK,--,5:39:31 PM,8/13/2024,
18,0.0,gf,0.000,mm,OK,--,5:39:31 PM,8/13/2024,
19,0.0,gf,0.000,mm,OK,--,5:39:31 PM,8/13/2024,
20,0.0,gf,0.000,mm,OK,--,5:39:31 PM,8/13/2024,
21,0.0,gf,0.000,mm,OK,--,5:39:31 PM,8/13/2024,
22,0.0,gf,0.005,mm,OK,--,5:39:31 PM,8/13/2024,
23,0.0,gf,0.005,mm,OK,--,5:39:31 PM,8/13/2024,
24,0.0,gf,0.005,mm,OK,--,5:39:31 PM,8/13/2024,
25,0.0,gf,0.005,mm,OK,--,5:39:31 PM,8/13/2024,
26,0.0,gf,0.005,mm,OK,--,5:39:32 PM,8/13/2024,
27,0.0,gf,0.005,mm,OK,--,5:39:32 PM,8/13/2024,
28,0.0,gf,0.005,mm,OK,--,5:39:32 PM,8/13/2024,
29,0.0,gf,0.005,mm,OK,--,5:39:32 PM,8/13/2024,
30,0.0,gf,0.005,mm,OK,--,5:39:32 PM,8/13/2024,
31,0.0,gf,0.010,mm,OK,--,5:39:32 PM,8/13/2024,
32,0.0,gf,0.010,mm,OK,--,5:39:32 PM,8/13/2024,
33,0.0,gf,0.010,mm,OK,--,5:39:32 PM,8/13/2024,
34,0.0,gf,0.010,mm,OK,--,5:39:32 PM,8/13/2024,
35,0.0,gf,0.015,mm,OK,--,5:39:32 PM,8/13/2024,
36,0.0,gf,0.015,mm,OK,--,5:39:33 PM,8/13/2024,
37,0.0,gf,0.015,mm,OK,--,5:39:33 PM,8/13/2024,
38,0.0,gf,0.015,mm,OK,--,5:39:33 PM,8/13/2024,
39,0.0,gf,0.020,mm,OK,--,5:39:33 PM,8/13/2024,
40,0.0,gf,0.020,mm,OK,--,5:39:33 PM,8/13/2024,
41,0.0,gf,0.025,mm,OK,--,5:39:33 PM,8/13/2024,
42,0.0,gf,0.025,mm,OK,--,5:39:33 PM,8/13/2024,
43,0.0,gf,0.030,mm,OK,--,5:39:33 PM,8/13/2024,
44,0.0,gf,0.030,mm,OK,--,5:39:33 PM,8/13/2024,
45,0.0,gf,0.035,mm,OK,--,5:39:33 PM,8/13/2024,
46,0.0,gf,0.035,mm,OK,--,5:39:34 PM,8/13/2024,
47,0.0,gf,0.040,mm,OK,--,5:39:34 PM,8/13/2024,
48,0.0,gf,0.040,mm,OK,--,5:39:34 PM,8/13/2024,
49,0.0,gf,0.040,mm,OK,--,5:39:34 PM,8/13/2024,
50,0.0,gf,0.045,mm,OK,--,5:39:34 PM,8/13/2024,
51,0.0,gf,0.045,mm,OK,--,5:39:34 PM,8/13/2024,
52,0.0,gf,0.050,mm,OK,--,5:39:34 PM,8/13/2024,
53,0.0,gf,0.055,mm,OK,--,5:39:34 PM,8/13/2024,
54,0.0,gf,0.055,mm,OK,--,5:39:34 PM,8/13/2024,
55,1.1,gf,0.060,mm,OK,--,5:39:34 PM,8/13/2024,
56,3.2,gf,0.060,mm,OK,--,5:39:35 PM,8/13/2024,
57,5.6,gf,0.065,mm,OK,--,5:39:35 PM,8/13/2024,
58,7.7,gf,0.070,mm,OK,--,5:39:35 PM,8/13/2024,
59,9.1,gf,0.070,mm,OK,--,5:39:35 PM,8/13/2024,
60,10.5,gf,0.075,mm,OK,--,5:39:35 PM,8/13/2024,
61,12.3,gf,0.075,mm,OK,--,5:39:35 PM,8/13/2024,
62,14.4,gf,0.080,mm,OK,--,5:39:35 PM,8/13/2024,
63,16.7,gf,0.080,mm,OK,--,5:39:35 PM,8/13/2024,
