Maximum,193.7,@,No.983,,,,,,
Minimum,-0.2,@,No.18,,,,,,
Average,57.94,,,,,,,,
Data Quantity,2023,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.1,gf,0.005,mm,OK,--,12:21:35 PM,11/27/2025,
2,0.0,gf,0.005,mm,OK,--,12:21:35 PM,11/27/2025,
3,0.0,gf,0.005,mm,OK,--,12:21:35 PM,11/27/2025,
4,-0.1,gf,0.005,mm,OK,--,12:21:35 PM,11/27/2025,
5,0.0,gf,0.005,mm,OK,--,12:21:36 PM,11/27/2025,
6,0.0,gf,0.005,mm,OK,--,12:21:36 PM,11/27/2025,
7,0.0,gf,0.005,mm,OK,--,12:21:36 PM,11/27/2025,
8,0.0,gf,0.005,mm,OK,--,12:21:36 PM,11/27/2025,
9,0.0,gf,0.005,mm,OK,--,12:21:36 PM,11/27/2025,
10,0.0,gf,0.005,mm,OK,--,12:21:36 PM,11/27/2025,
11,0.0,gf,0.005,mm,OK,--,12:21:36 PM,11/27/2025,
12,0.0,gf,0.005,mm,OK,--,12:21:36 PM,11/27/2025,
13,0.0,gf,0.005,mm,OK,--,12:21:36 PM,11/27/2025,
14,0.0,gf,0.005,mm,OK,--,12:21:36 PM,11/27/2025,
15,0.0,gf,0.005,mm,OK,--,12:21:37 PM,11/27/2025,
16,0.0,gf,0.005,mm,OK,--,12:21:37 PM,11/27/2025,
17,0.1,gf,0.010,mm,OK,--,12:21:37 PM,11/27/2025,
18,-0.2,gf,0.010,mm,OK,--,12:21:37 PM,11/27/2025,
19,-0.1,gf,0.010,mm,OK,--,12:21:37 PM,11/27/2025,
20,0.0,gf,0.010,mm,OK,--,12:21:37 PM,11/27/2025,
21,0.0,gf,0.010,mm,OK,--,12:21:37 PM,11/27/2025,
22,0.0,gf,0.010,mm,OK,--,12:21:37 PM,11/27/2025,
23,0.0,gf,0.010,mm,OK,--,12:21:37 PM,11/27/2025,
24,0.0,gf,0.015,mm,OK,--,12:21:37 PM,11/27/2025,
25,0.0,gf,0.015,mm,OK,--,12:21:38 PM,11/27/2025,
26,0.0,gf,0.020,mm,OK,--,12:21:38 PM,11/27/2025,
27,0.0,gf,0.025,mm,OK,--,12:21:38 PM,11/27/2025,
28,-0.1,gf,0.030,mm,OK,--,12:21:38 PM,11/27/2025,
29,0.0,gf,0.035,mm,OK,--,12:21:38 PM,11/27/2025,
